,News Station,Tweet,Date,Tweets Ago,Compound Score,Positive Score,Neutral Score,Negative Score
0,CBS News,"Navy commander sentenced for role in ""Fat Leonard"" bribery scandal https://t.co/ZhrwaHeZHs https://t.co/FOsKf1v2ss",Sat Dec 02 03:00:24 +0000 2017,1,-0.4588,0.0,0.714,0.286
1,CBS News,"Comedy legend Carol Burnett is one of the funniest people ever to be on TV, but she tells @MoRocca that there is on… https://t.co/lFP3AfrHIE",Sat Dec 02 03:00:01 +0000 2017,2,0.4678,0.155,0.845,0.0
2,CBS News,"Analysis: Robert Mueller's investigation ""should make you very nervous"" if you have something to hide,… https://t.co/T7TpUuehhP",Sat Dec 02 02:40:01 +0000 2017,3,-0.3384,0.0,0.862,0.138
3,CBS News,"United Nations war crimes tribunal orders independent review of ""internal operations"" after ex-general's death… https://t.co/vjEbqBSG7b",Sat Dec 02 02:20:01 +0000 2017,4,-0.2732,0.142,0.66,0.198
4,CBS News,"Seeing potential in a Minnesota woman addicted to heroin, a drug treatment court judge helps turn her life around… https://t.co/PNJSez9Dk8",Sat Dec 02 02:00:02 +0000 2017,5,-0.1531,0.119,0.734,0.147
5,CBS News,"In an effort to prepare tourists and residents for a possible nuclear attack from North Korea, Hawaii attack sirens… https://t.co/hKQSWGBJsC",Sat Dec 02 01:40:03 +0000 2017,6,-0.7351,0.0,0.733,0.267
6,CBS News,"Senate Democrats express outrage after Republicans unveil the 479-page text of their tax overhaul, with notes scrib… https://t.co/z1ZZVBTbOq",Sat Dec 02 01:25:27 +0000 2017,7,-0.5106,0.0,0.837,0.163
7,CBS News,American Airlines says it believes it has covered all the flights that were potentially affected by a computer glit… https://t.co/uwlJolvwRr,Sat Dec 02 01:20:02 +0000 2017,8,-0.1531,0.0,0.918,0.082
8,CBS News,"DCCC chairman calls for Rep. Ruben Kihuen, accused in report of propositioning former staffer for dates and sex, to… https://t.co/4m9BHfcoqI",Sat Dec 02 01:00:02 +0000 2017,9,-0.296,0.0,0.896,0.104
9,CBS News,Former National Security Agency employee pleaded guilty Friday to keeping top secret U.S. defense material at his h… https://t.co/mMIUh5skqF,Sat Dec 02 00:40:02 +0000 2017,10,0.2263,0.243,0.638,0.119
10,CBS News,"Called an ""encouraging sign"" by officials, a new government report finds HIV is being diagnosed sooner after infect… https://t.co/uSgiRDpz2m",Sat Dec 02 00:20:01 +0000 2017,11,0.5267,0.167,0.833,0.0
11,CBS News,CBS News has confirmed U.S. law enforcement officials have long suspected Michael Flynn did not engage the Russian… https://t.co/PbiBYKa2DF,Sat Dec 02 00:12:29 +0000 2017,12,-0.4471,0.0,0.812,0.188
12,CBS News,"RT @CBSEveningNews: A judge in Minnesota refused to judge a book by its cover and instead, judged by what he saw inside

Steve Hartman is @…",Sat Dec 02 00:06:00 +0000 2017,13,-0.296,0.0,0.913,0.087
13,CBS News,".@AnthonyMasonCBS: ""I thank you for your support over the past six months. Temp work is rarely such a privilege. Th… https://t.co/6Zp86jY0cO",Sat Dec 02 00:03:05 +0000 2017,14,0.4749,0.214,0.699,0.087
14,CBS News,"""Next week, we start a new chapter in the nearly 70-year history of this broadcast when my colleague Jeff Glor take… https://t.co/aMDbtO5OAT",Sat Dec 02 00:02:08 +0000 2017,15,0.0,0.0,1.0,0.0
15,CBS News,"Dogs are smarter than cats — at least, that's what a new study suggests. https://t.co/myZmQYxF0Z",Sat Dec 02 00:00:39 +0000 2017,16,0.4588,0.2,0.8,0.0
16,CBS News,"""It's no coincidence that Prince Harry and Meghan Markle chose World AIDS Day to make their first public appearance… https://t.co/v4Zmbf4AJZ",Fri Dec 01 23:48:05 +0000 2017,17,-0.296,0.0,0.896,0.104
17,CBS News,"""The report said [Charlottesville] officers failed to stand up to protect human life because some were told to stay… https://t.co/zS6ZSLidSA",Fri Dec 01 23:46:17 +0000 2017,18,-0.1779,0.109,0.753,0.138
18,CBS News,".@krisvancleave: ""Tempers flared today, months after the violence played out on the streets of Charlottesville. An… https://t.co/5QJVKjE2HN",Fri Dec 01 23:45:32 +0000 2017,19,-0.6124,0.105,0.614,0.281
19,CBS News,".@nancycordes reporting on GOP tax bill: ""It's estimated a family of four earning $75,000 a year would initially ge… https://t.co/BOW3QzBSio",Fri Dec 01 23:43:48 +0000 2017,20,0.0,0.0,1.0,0.0
20,CBS News,"Navy commander sentenced for role in ""Fat Leonard"" bribery scandal https://t.co/ZhrwaHeZHs https://t.co/FOsKf1v2ss",Sat Dec 02 03:00:24 +0000 2017,21,-0.4588,0.0,0.714,0.286
21,CBS News,"Comedy legend Carol Burnett is one of the funniest people ever to be on TV, but she tells @MoRocca that there is on… https://t.co/lFP3AfrHIE",Sat Dec 02 03:00:01 +0000 2017,22,0.4678,0.155,0.845,0.0
22,CBS News,"Analysis: Robert Mueller's investigation ""should make you very nervous"" if you have something to hide,… https://t.co/T7TpUuehhP",Sat Dec 02 02:40:01 +0000 2017,23,-0.3384,0.0,0.862,0.138
23,CBS News,"United Nations war crimes tribunal orders independent review of ""internal operations"" after ex-general's death… https://t.co/vjEbqBSG7b",Sat Dec 02 02:20:01 +0000 2017,24,-0.2732,0.142,0.66,0.198
24,CBS News,"Seeing potential in a Minnesota woman addicted to heroin, a drug treatment court judge helps turn her life around… https://t.co/PNJSez9Dk8",Sat Dec 02 02:00:02 +0000 2017,25,-0.1531,0.119,0.734,0.147
25,CBS News,"In an effort to prepare tourists and residents for a possible nuclear attack from North Korea, Hawaii attack sirens… https://t.co/hKQSWGBJsC",Sat Dec 02 01:40:03 +0000 2017,26,-0.7351,0.0,0.733,0.267
26,CBS News,"Senate Democrats express outrage after Republicans unveil the 479-page text of their tax overhaul, with notes scrib… https://t.co/z1ZZVBTbOq",Sat Dec 02 01:25:27 +0000 2017,27,-0.5106,0.0,0.837,0.163
27,CBS News,American Airlines says it believes it has covered all the flights that were potentially affected by a computer glit… https://t.co/uwlJolvwRr,Sat Dec 02 01:20:02 +0000 2017,28,-0.1531,0.0,0.918,0.082
28,CBS News,"DCCC chairman calls for Rep. Ruben Kihuen, accused in report of propositioning former staffer for dates and sex, to… https://t.co/4m9BHfcoqI",Sat Dec 02 01:00:02 +0000 2017,29,-0.296,0.0,0.896,0.104
29,CBS News,Former National Security Agency employee pleaded guilty Friday to keeping top secret U.S. defense material at his h… https://t.co/mMIUh5skqF,Sat Dec 02 00:40:02 +0000 2017,30,0.2263,0.243,0.638,0.119
30,CBS News,"Called an ""encouraging sign"" by officials, a new government report finds HIV is being diagnosed sooner after infect… https://t.co/uSgiRDpz2m",Sat Dec 02 00:20:01 +0000 2017,31,0.5267,0.167,0.833,0.0
31,CBS News,CBS News has confirmed U.S. law enforcement officials have long suspected Michael Flynn did not engage the Russian… https://t.co/PbiBYKa2DF,Sat Dec 02 00:12:29 +0000 2017,32,-0.4471,0.0,0.812,0.188
32,CBS News,"RT @CBSEveningNews: A judge in Minnesota refused to judge a book by its cover and instead, judged by what he saw inside

Steve Hartman is @…",Sat Dec 02 00:06:00 +0000 2017,33,-0.296,0.0,0.913,0.087
33,CBS News,".@AnthonyMasonCBS: ""I thank you for your support over the past six months. Temp work is rarely such a privilege. Th… https://t.co/6Zp86jY0cO",Sat Dec 02 00:03:05 +0000 2017,34,0.4749,0.214,0.699,0.087
34,CBS News,"""Next week, we start a new chapter in the nearly 70-year history of this broadcast when my colleague Jeff Glor take… https://t.co/aMDbtO5OAT",Sat Dec 02 00:02:08 +0000 2017,35,0.0,0.0,1.0,0.0
35,CBS News,"Dogs are smarter than cats — at least, that's what a new study suggests. https://t.co/myZmQYxF0Z",Sat Dec 02 00:00:39 +0000 2017,36,0.4588,0.2,0.8,0.0
36,CBS News,"""It's no coincidence that Prince Harry and Meghan Markle chose World AIDS Day to make their first public appearance… https://t.co/v4Zmbf4AJZ",Fri Dec 01 23:48:05 +0000 2017,37,-0.296,0.0,0.896,0.104
37,CBS News,"""The report said [Charlottesville] officers failed to stand up to protect human life because some were told to stay… https://t.co/zS6ZSLidSA",Fri Dec 01 23:46:17 +0000 2017,38,-0.1779,0.109,0.753,0.138
38,CBS News,".@krisvancleave: ""Tempers flared today, months after the violence played out on the streets of Charlottesville. An… https://t.co/5QJVKjE2HN",Fri Dec 01 23:45:32 +0000 2017,39,-0.6124,0.105,0.614,0.281
39,CBS News,".@nancycordes reporting on GOP tax bill: ""It's estimated a family of four earning $75,000 a year would initially ge… https://t.co/BOW3QzBSio",Fri Dec 01 23:43:48 +0000 2017,40,0.0,0.0,1.0,0.0
40,CBS News,RT @CBSEveningNews: Senate Republicans have spent the day writing and re-writing the massive tax bill. When the vote will happen--and all t…,Fri Dec 01 23:42:29 +0000 2017,41,0.0,0.0,1.0,0.0
41,CBS News,".@PaulaReidCBS: ""This ability that Robert Mueller has to keep his cards really close to the vest, that should reall… https://t.co/vhC9jDoUW9",Fri Dec 01 23:41:04 +0000 2017,42,0.3182,0.108,0.892,0.0
42,CBS News,".@MajorCBS: ""In the context of so many transition and White House denials about dealings with Russia, today's court… https://t.co/F5IqYX9ktC",Fri Dec 01 23:38:39 +0000 2017,43,0.0,0.0,1.0,0.0
43,CBS News,"CBS News has learned Flynn was directed to make the first call by President Trump's son-in-law, Jared Kushner, desc… https://t.co/DxjlB3Gn2k",Fri Dec 01 23:35:19 +0000 2017,44,0.0,0.0,1.0,0.0
44,CBS News,"""Michael Flynn arrived at the courthouse this morning to plead guilty to making false statements to the F.B.I. Once… https://t.co/Eg3Kzhzu0S",Fri Dec 01 23:33:59 +0000 2017,45,-0.4215,0.0,0.872,0.128
45,CBS News,"RT @CBSEveningNews: We’re on the air in the East. @AnthonyMasonCBS is live from Studio 57 in NYC. 
Thanks for being with us #RealReporting…",Fri Dec 01 23:31:00 +0000 2017,46,0.4404,0.116,0.884,0.0
46,CBS News,"Thieves steal ""tens of thousands of dollars"" in toys, clothes and construction tools from Salvation Army warehouse… https://t.co/9i3bufnsuK",Fri Dec 01 23:25:01 +0000 2017,47,-0.7579,0.0,0.711,0.289
47,CBS News,@CBSNews MORE: Three sources with knowledge of the situation tell CBS News Jared Kushner was the “very senior” offi… https://t.co/8coLzJ1Eb4,Fri Dec 01 23:10:32 +0000 2017,48,0.0,0.0,1.0,0.0
48,CBS News,A former Oklahoma state senator accused of engaging in child prostitution and pornography pleads guilty to child se… https://t.co/kjKT2rReJM,Fri Dec 01 23:10:01 +0000 2017,49,-0.3818,0.107,0.67,0.223
49,CBS News,NEW: Three sources with knowledge of the situation tell CBS News K.T. McFarland was the “senior official” on the Pr… https://t.co/rQ2ZkqMbmo,Fri Dec 01 23:05:19 +0000 2017,50,0.0,0.0,1.0,0.0
50,CBS News,"In memo to staffers, NBC News chief says network's legal and human resources leaders investigating Matt Lauer's ""ap… https://t.co/8I1D7n5iB5",Fri Dec 01 22:50:01 +0000 2017,51,0.128,0.077,0.923,0.0
51,CBS News,"NEW: Rep. Susan Collins says, ""after securing significant changes,"" she will support the GOP tax reform bill… https://t.co/PL7kh85pfi",Fri Dec 01 22:39:34 +0000 2017,52,0.7003,0.312,0.688,0.0
52,CBS News,"JUST IN: Jared Kushner identified as the ""very senior"" Trump transition official who directed Michael Flynn to cont… https://t.co/7IrdphNBJB",Fri Dec 01 22:20:01 +0000 2017,53,0.0,0.0,1.0,0.0
53,CBS News,"NEW: Missing Florida teen Caitlyn Frisina, who ran away with her former high school soccer coach, has been ""located… https://t.co/en7FjSKLVG",Fri Dec 01 22:12:01 +0000 2017,54,-0.296,0.0,0.896,0.104
54,CBS News,"""It don't feel right...."" The father of missing 3-year-old Mariah Woods said he doesn't believe his daughter was ab… https://t.co/yMH3WymAU0",Fri Dec 01 22:10:37 +0000 2017,55,-0.296,0.0,0.896,0.104
55,CBS News,"""This is my senator. She will NOT sell you out to the telecom lobby."" Reddit's front page is being flooded with pos… https://t.co/BymtBcH0D6",Fri Dec 01 21:51:05 +0000 2017,56,0.0,0.0,1.0,0.0
56,CBS News,White House hangs massive red bow from the front portico to recognize World AIDS Day https://t.co/C5xZzbngBJ https://t.co/evwOAIpR1V,Fri Dec 01 21:45:02 +0000 2017,57,0.0,0.0,1.0,0.0
57,CBS News,"In breaking nondisclosure agreements, accusers face legal risks while helping to start a national discussion about… https://t.co/G07KtTyxaQ",Fri Dec 01 21:27:30 +0000 2017,58,0.4019,0.291,0.603,0.106
58,CBS News,"NEW: Dept. of Justice has filed an arrest warrant for Jose Garcia Zarate, the man acquitted of murder in Kate Stein… https://t.co/fxrl8ACVc4",Fri Dec 01 21:11:00 +0000 2017,59,-0.4019,0.177,0.59,0.233
59,CBS News,"Federal prosecutors want to seize millions of dollars worth of assets belonging to Martin Shkreli, including a Wu-T… https://t.co/fjoLWfktFx",Fri Dec 01 20:52:59 +0000 2017,60,0.4404,0.246,0.754,0.0
60,CBS News,"Hecklers outside of the courthouse where Michael Flynn pleaded guilty to lying to the FBI yelled, “Lock him up! Loc… https://t.co/PkItnGtUlF",Fri Dec 01 20:30:41 +0000 2017,61,-0.7574,0.0,0.745,0.255
61,CBS News,New images taken by a European satellite show levels of air pollution around the world: https://t.co/Bb3Z8XhbhP https://t.co/70qp9eitne,Fri Dec 01 20:10:01 +0000 2017,62,0.0,0.0,1.0,0.0
62,CBS News,Florida State football coach Jimbo Fisher is resigning to take the head coaching job at Texas A&amp;M:… https://t.co/UaKt3eahCN,Fri Dec 01 19:55:01 +0000 2017,63,-0.2263,0.0,0.899,0.101
63,CBS News,"NOW: Lawyer for Rep. John Conyers speaks as House colleagues call on him to resign; ""he is indicating he has not se… https://t.co/ZwLiS3stah",Fri Dec 01 19:45:59 +0000 2017,64,-0.34,0.0,0.902,0.098
64,CBS News,Indicted ex-Baltimore cop allegedly set up slain officer into discovering cache of heroin he planted during a 2010… https://t.co/CXwah789cy,Fri Dec 01 19:40:01 +0000 2017,65,-0.4939,0.0,0.842,0.158
65,CBS News,Tesla has switched on the world's biggest lithium-ion battery in South Australia. Here's what you need to know. https://t.co/DVAh6tiYkN,Fri Dec 01 19:25:32 +0000 2017,66,0.0,0.0,1.0,0.0
66,CBS News,Rep. Blake Farenthold is the only sitting House member since 2013 to have used a little-known congressional account… https://t.co/s7S0Ffwdyu,Fri Dec 01 19:06:31 +0000 2017,67,0.0,0.0,1.0,0.0
67,CBS News,"""Frankly, virtually every one of my Republican colleagues acknowledges Russian intervention. The one individual tha… https://t.co/wEuhdbWiJn",Fri Dec 01 18:56:46 +0000 2017,68,0.0,0.0,1.0,0.0
68,CBS News,"""This investigation is going to continue in its bipartisan fashion and we're going to get the job done,"" Sen. Mark… https://t.co/51tVZcZ9RM",Fri Dec 01 18:55:13 +0000 2017,69,0.0,0.0,1.0,0.0
69,CBS News,"""My hope is that General Flynn will tell everything he knows and tell why he was having these contacts with Russian… https://t.co/SXErFyBwiK",Fri Dec 01 18:54:03 +0000 2017,70,0.4404,0.121,0.879,0.0
70,CBS News,"“We’ve got more facts to gather,” Sen. Mark Warner says on Michael Flynn's guilty plea. “How many more figures have… https://t.co/AlUzsPXFfX",Fri Dec 01 18:52:31 +0000 2017,71,-0.4215,0.0,0.877,0.123
71,CBS News,"Authorities say they've arrested and charged a man for threatening to kill Rep. John Katko, R-N.Y., and his family… https://t.co/XGqeYpiaka",Fri Dec 01 18:40:01 +0000 2017,72,-0.9186,0.0,0.536,0.464
72,CBS News,NCAA slaps Ole Miss football program with a two-year postseason ban and other penalties: https://t.co/qx8mo0Blzz https://t.co/pfkEgWZqj8,Fri Dec 01 18:25:02 +0000 2017,73,-0.6369,0.0,0.714,0.286
73,CBS News,"""The frightening thing is this guy was the national security adviser of the United States,"" says Sen. Tim Kaine in… https://t.co/iciL7JpvDk",Fri Dec 01 18:10:44 +0000 2017,74,0.25,0.197,0.682,0.121
74,CBS News,"@CBSNews MORE: Rep. Blake Farenthold, R-Texas, says in statement that he can neither confirm nor deny 2014 sexual h… https://t.co/iaTAu52XHX",Fri Dec 01 18:02:33 +0000 2017,75,-0.1942,0.0,0.915,0.085
75,CBS News,"NEW: ""Flynn’s lies to the FBI are especially significant because they were made at a time when he was serving as Pr… https://t.co/SjDB7faURe",Fri Dec 01 18:02:04 +0000 2017,76,-0.1796,0.084,0.803,0.112
76,CBS News,"NEW: Rep. Blake Farenthold, R-Texas, used taxpayer funds to settle a sexual harassment claim with his communication… https://t.co/VFKnmgFcat",Fri Dec 01 17:58:58 +0000 2017,77,-0.5423,0.0,0.821,0.179
77,CBS News,"NEW: ""Disturbingly, Flynn is the fourth top Trump campaign official to be charged in connection with the Russia inv… https://t.co/38jqSSqJFz",Fri Dec 01 17:42:01 +0000 2017,78,0.0,0.083,0.833,0.083
78,CBS News,"Investigators ""always felt [Michael Flynn] was being advised or encouraged to make those contacts"" with Russians,… https://t.co/9IMfa5hcDd",Fri Dec 01 17:36:54 +0000 2017,79,0.3612,0.135,0.865,0.0
79,CBS News,"""One thing that comes out with with this plea agreement is how hyper-focused investigators are on Flynn during the… https://t.co/xER4fZHysD",Fri Dec 01 17:31:50 +0000 2017,80,0.4939,0.144,0.856,0.0
80,CBS News,"There is no specific mention of the president in plea deal documents at this point, @PaulaReidCBS reports… https://t.co/Qbv5WMkXNM",Fri Dec 01 17:27:15 +0000 2017,81,-0.296,0.0,0.885,0.115
81,CBS News,"Michael Flynn is expected to testify that before he met with the Russian ambassador, he personally spoke with the s… https://t.co/0M2p8ZA2RL",Fri Dec 01 17:24:15 +0000 2017,82,0.0,0.0,1.0,0.0
82,CBS News,SPECIAL REPORT: Michael Flynn says he is cooperating with special counsel Robert Mueller following his guilty plea… https://t.co/DPz5XbREqE,Fri Dec 01 17:21:08 +0000 2017,83,0.516,0.256,0.627,0.117
83,CBS News,NEW: U.S. law enforcement officials have long suspected Michael Flynn did not engage with then-Russian Ambassador t… https://t.co/QqRAMnGsBN,Fri Dec 01 17:14:51 +0000 2017,84,-0.4471,0.0,0.803,0.197
84,CBS News,"WATCH: Michael Flynn, who just plead guilty to lying to the FBI, is seen leaving the federal courthouse in D.C.… https://t.co/7QsDys84Nw",Fri Dec 01 16:48:21 +0000 2017,85,-0.7351,0.0,0.754,0.246
85,CBS News,"""Nothing about the guilty plea or the charge implicates anyone other than Mr. Flynn,"" Trump attorney Ty Cobb says i… https://t.co/eIXW6jb1mD",Fri Dec 01 16:45:42 +0000 2017,86,-0.0516,0.107,0.779,0.115
86,CBS News,"NEW: ""It has been extraordinarily painful to endure these many months of false accusations of 'treason' and other o… https://t.co/qkcLmHms7C",Fri Dec 01 16:37:38 +0000 2017,87,-0.6369,0.0,0.776,0.224
87,CBS News,U.S. stock market starts to tumble upon news that Michael Flynn has plead guilty to lying to the FBI… https://t.co/D1Lwy5WL29,Fri Dec 01 16:34:08 +0000 2017,88,-0.7351,0.0,0.744,0.256
88,CBS News,"JUST IN: Michael Flynn, former national security adviser to Pres. Trump, pleads guilty to making false statements t… https://t.co/Zzxg3QdcWl",Fri Dec 01 16:20:01 +0000 2017,89,-0.1027,0.108,0.766,0.126
89,CBS News,"Michael Flynn ""will get the benefit of a fair legal process he was unwilling to accord to anybody else,"" Sen. Tim K… https://t.co/KOyQz32J55",Fri Dec 01 16:09:54 +0000 2017,90,0.7003,0.264,0.736,0.0
90,CBS News,"White House says verdict in Kate Steinle case ""underscores the danger to public safety when our Nation fails to enf… https://t.co/FInX7prw7t",Fri Dec 01 16:02:04 +0000 2017,91,-0.4215,0.159,0.616,0.225
91,CBS News,"Secretary of State Rex Tillerson says the notion that the White House wants him to resign is ""laughable""… https://t.co/V40N0wrm5b",Fri Dec 01 15:46:32 +0000 2017,92,-0.34,0.0,0.882,0.118
92,CBS News,"WATCH: Michael Flynn arrives at federal courthouse in Washington, D.C., ahead of scheduled appearance; Flynn ignore… https://t.co/8lrlQGa9EQ",Fri Dec 01 15:24:57 +0000 2017,93,0.0,0.0,1.0,0.0
93,CBS News,Michael Flynn is the first Trump administration official — and the fourth connected to the campaign — to be charged… https://t.co/ADWJ27SrfR,Fri Dec 01 15:21:33 +0000 2017,94,0.0,0.0,1.0,0.0
94,CBS News,"The White House will not be issuing a comment on Michael Flynn’s reported guilty plea, @jaxalemany reports… https://t.co/FoBMS8exIn",Fri Dec 01 15:09:22 +0000 2017,95,-0.4215,0.0,0.851,0.149
95,CBS News,LOOK: Michael Flynn's plea document submitted to the court by the special counsel; Flynn is expected to appear in c… https://t.co/zctO4cm5hw,Fri Dec 01 15:00:40 +0000 2017,96,0.4019,0.119,0.881,0.0
96,CBS News,"""This is an incredible, significant development -- one that I think the White House has been fearing and probably p… https://t.co/HT8FqE3IJS",Fri Dec 01 14:40:46 +0000 2017,97,-0.4404,0.077,0.766,0.157
97,CBS News,Michael Flynn to plead guilty to lying to FBI; Flynn will appear in a DC federal court for a plea hearing Friday mo… https://t.co/pl2Shvf8va,Fri Dec 01 14:32:01 +0000 2017,98,-0.7351,0.0,0.763,0.237
98,CBS News,Mike Flynn's attorneys had stopped sharing information with the White House and certain witnesses who were expected… https://t.co/Gvp3XXMg0r,Fri Dec 01 14:29:19 +0000 2017,99,0.4588,0.225,0.688,0.087
99,CBS News,"MORE: Michael Flynn turned himself in to the FBI Friday morning. He was processed, charged, and is now headed to fe… https://t.co/DwK1CIl3wU",Fri Dec 01 14:25:56 +0000 2017,100,-0.2023,0.0,0.921,0.079
100,Fox News,Rosenberg on Kate Steinle verdict: I find it reprehensible that [Dems] are worried about DACA recipients. The worst… https://t.co/tMs6BpAisw,Sat Dec 02 03:14:35 +0000 2017,1,-0.1531,0.081,0.808,0.111
101,Fox News,Nevada Democratic rep faces calls to resign over sexual harassment claim https://t.co/8wLmu8r11g,Sat Dec 02 03:03:45 +0000 2017,2,-0.7096,0.0,0.629,0.371
102,Fox News,"Thomas Homan, Acting Director of Immigration And Customs Enforcement (ICE), gave a statement in the wake of the not… https://t.co/kkPgKCQWXd",Sat Dec 02 02:52:39 +0000 2017,3,0.0,0.0,1.0,0.0
103,Fox News,.@SheriffClarke: “Push is going to have to come to shove for the United States Department of Justice. There are fed… https://t.co/iRXGMRJw6A,Sat Dec 02 02:50:33 +0000 2017,4,0.7351,0.246,0.754,0.0
104,Fox News,".@SheriffClarke on immigration reform: “The only elected official in Washington, D.C. who understands that this is… https://t.co/3xYW8j6Ldt",Sat Dec 02 02:40:29 +0000 2017,5,0.0,0.0,1.0,0.0
105,Fox News,"Mary Ann Mendoza: “Americans are kidding themselves if they don’t think that we need a wall, and we need a secure b… https://t.co/4m5iMVTXhd",Sat Dec 02 02:34:44 +0000 2017,6,0.4215,0.167,0.833,0.0
106,Fox News,".@davidwebbshow on open borders: ""These liberal policies will bring this country down."" #Hannity https://t.co/R3UpV2aXuK",Sat Dec 02 02:29:49 +0000 2017,7,0.0,0.0,1.0,0.0
107,Fox News,"Rep. King 'Sickened' by Steinle Verdict, Pledges to Fight 'Every Form' of Amnesty https://t.co/lsGx9o5l03",Sat Dec 02 02:11:22 +0000 2017,8,-0.25,0.099,0.741,0.16
108,Fox News,Legal experts split on what Flynn guilty plea means for Team #Trump https://t.co/0x9QYWsmxi,Sat Dec 02 01:55:55 +0000 2017,9,-0.3182,0.098,0.719,0.183
109,Fox News,"RT @FoxBusiness: Ford sues John Cena for selling $500,000 GT supercar, violating contract https://t.co/3kaTVUBzyv https://t.co/T15lpytAps",Sat Dec 02 01:54:55 +0000 2017,10,-0.1697,0.147,0.672,0.181
110,Fox News,"AG Sessions on sanctuary cities: ""We are doing everything possible to get these cities to reverse these policies.""… https://t.co/AsJ0ezGFgz",Sat Dec 02 01:43:31 +0000 2017,11,0.0,0.0,1.0,0.0
111,Fox News,"""Bob Mueller's task is to find the facts and take them wherever they may lead. Where they may lead may be no place.… https://t.co/8BnBcSaLKy",Sat Dec 02 01:23:03 +0000 2017,12,-0.296,0.0,0.913,0.087
112,Fox News,".@TuckerCarlson: ""If investigators can prove that the Trump campaign worked with Vladimir Putin in order to steal t… https://t.co/wns8GtfzjU",Sat Dec 02 01:18:13 +0000 2017,13,-0.4939,0.0,0.849,0.151
113,Fox News,TUNE IN NOW: Attorney General Jeff Sessions joins @TuckerCarlson on Fox News Channel. #Tucker https://t.co/9AFdZ6hpYh,Sat Dec 02 01:09:05 +0000 2017,14,0.0,0.0,1.0,0.0
114,Fox News,Hawaii tests nuclear warning sirens due to North Korea threat https://t.co/dDzBhViYIR https://t.co/kLwZ5ZCpuf,Sat Dec 02 00:50:53 +0000 2017,15,-0.7003,0.0,0.633,0.367
115,Fox News,"Marc Short: “The tax cuts generate growth, and we need that growth to actually pay for our national security needs.… https://t.co/i76sippQZL",Sat Dec 02 00:46:52 +0000 2017,16,0.6124,0.279,0.588,0.132
116,Fox News,"Marc Short: “The corporate rate reduction helps to increase growth, helps to increase employment, and helps to incr… https://t.co/SRdhP2Ayyl",Sat Dec 02 00:37:45 +0000 2017,17,0.9186,0.536,0.464,0.0
117,Fox News,"Marc Short: “Other countries have lowered their tax rates, which is why so many companies have relocated overseas,… https://t.co/TEzZyHgHhi",Sat Dec 02 00:37:05 +0000 2017,18,-0.128,0.0,0.923,0.077
